crime_id,crime_date,country,longitude,crime_type_id,resolved,people_involved_crime,crime_datetime,people_involved_other,crime_role_id,person_id,year,month,total_people
12,2023-07-15,Finland,,8,1,6,2023-07-15 09:00:00,6,5,1513,2023,7,6
13,2022-07-16,Austria,,12,1,2,2022-07-16 00:05:00,2,1,6808,2022,7,2
13,2022-07-16,Austria,,12,1,2,2022-07-16 00:05:00,2,5,3119,2022,7,2
14,2022-03-13,United Kingdom,,1,1,4,2022-03-13 17:05:00,4,1,577,2022,3,4
14,2022-03-13,United Kingdom,,1,1,4,2022-03-13 17:05:00,4,5,5921,2022,3,4
14,2022-03-13,United Kingdom,,1,1,4,2022-03-13 17:05:00,4,1,5412,2022,3,4
14,2022-03-13,United Kingdom,,1,1,4,2022-03-13 17:05:00,4,2,5918,2022,3,4
15,2022-12-29,France,,12,1,4,2022-12-29 01:15:00,4,1,696,2022,12,4
15,2022-12-29,France,,12,1,4,2022-12-29 01:15:00,4,5,5776,2022,12,4
15,2022-12-29,France,,12,1,4,2022-12-29 01:15:00,4,2,6749,2022,12,4
15,2022-12-29,France,,12,1,4,2022-12-29 01:15:00,4,3,6666,2022,12,4
16,2022-07-28,Germany,,12,1,2,2022-07-28 03:45:00,2,1,3198,2022,7,2
16,2022-07-28,Germany,,12,1,2,2022-07-28 03:45:00,2,5,2928,2022,7,2
17,2023-05-04,Italy,,9,0,4,2023-05-04 08:20:00,4,1,5061,2023,5,4
17,2023-05-04,Italy,,9,0,4,2023-05-04 08:20:00,4,5,659,2023,5,4
17,2023-05-04,Italy,,9,0,4,2023-05-04 08:20:00,4,2,5203,2023,5,4
17,2023-05-04,Italy,,9,0,4,2023-05-04 08:20:00,4,3,7490,2023,5,4
18,2023-06-03,Spain,,11,0,3,2023-06-03 23:45:00,3,1,6909,2023,6,3
18,2023-06-03,Spain,,11,0,3,2023-06-03 23:45:00,3,5,2549,2023,6,3
18,2023-06-03,Spain,,11,0,3,2023-06-03 23:45:00,3,5,1753,2023,6,3
19,2021-10-25,Netherlands,,12,0,2,2021-10-25 23:10:00,2,1,3426,2021,10,2
19,2021-10-25,Netherlands,,12,0,2,2021-10-25 23:10:00,2,5,889,2021,10,2
20,2021-10-13,Belgium,,12,1,2,2021-10-13 07:30:00,2,1,2782,2021,10,2
20,2021-10-13,Belgium,,12,1,2,2021-10-13 07:30:00,2,5,24,2021,10,2
21,2023-05-13,Switzerland,,12,1,2,2023-05-13 08:45:00,2,1,3532,2023,5,2
21,2023-05-13,Switzerland,,12,1,2,2023-05-13 08:45:00,2,5,3348,2023,5,2
22,2022-06-01,Sweden,,3,1,5,2022-06-01 11:35:00,5,1,4928,2022,6,5
22,2022-06-01,Sweden,,3,1,5,2022-06-01 11:35:00,5,5,7078,2022,6,5
22,2022-06-01,Sweden,,3,1,5,2022-06-01 11:35:00,5,5,1385,2022,6,5
22,2022-06-01,Sweden,,3,1,5,2022-06-01 11:35:00,5,2,2506,2022,6,5
22,2022-06-01,Sweden,,3,1,5,2022-06-01 11:35:00,5,2,4671,2022,6,5
23,2022-04-23,Norway,,12,0,5,2022-04-23 18:25:00,5,1,3573,2022,4,5
23,2022-04-23,Norway,,12,0,5,2022-04-23 18:25:00,5,5,84,2022,4,5
23,2022-04-23,Norway,,12,0,5,2022-04-23 18:25:00,5,2,5488,2022,4,5
23,2022-04-23,Norway,,12,0,5,2022-04-23 18:25:00,5,5,7024,2022,4,5
23,2022-04-23,Norway,,12,0,5,2022-04-23 18:25:00,5,5,5171,2022,4,5
24,2023-06-08,Denmark,,12,1,2,2023-06-08 05:30:00,2,1,6079,2023,6,2
24,2023-06-08,Denmark,,12,1,2,2023-06-08 05:30:00,2,5,4651,2023,6,2
25,2022-07-19,Finland,,3,1,2,2022-07-19 12:25:00,2,1,782,2022,7,2
25,2022-07-19,Finland,,3,1,2,2022-07-19 12:25:00,2,5,1484,2022,7,2
26,2023-04-27,Austria,,1,1,6,2023-04-27 00:15:00,6,1,6534,2023,4,6
26,2023-04-27,Austria,,1,1,6,2023-04-27 00:15:00,6,5,7143,2023,4,6
26,2023-04-27,Austria,,1,1,6,2023-04-27 00:15:00,6,5,5079,2023,4,6
26,2023-04-27,Austria,,1,1,6,2023-04-27 00:15:00,6,2,3914,2023,4,6
26,2023-04-27,Austria,,1,1,6,2023-04-27 00:15:00,6,1,2102,2023,4,6
26,2023-04-27,Austria,,1,1,6,2023-04-27 00:15:00,6,5,1106,2023,4,6
27,2022-06-04,United Kingdom,,5,0,4,2022-06-04 01:05:00,4,1,2833,2022,6,4
27,2022-06-04,United Kingdom,,5,0,4,2022-06-04 01:05:00,4,5,4737,2022,6,4
27,2022-06-04,United Kingdom,,5,0,4,2022-06-04 01:05:00,4,3,3010,2022,6,4
27,2022-06-04,United Kingdom,,5,0,4,2022-06-04 01:05:00,4,5,7293,2022,6,4
28,2021-10-27,France,,12,1,2,2021-10-27 21:05:00,2,1,1078,2021,10,2
28,2021-10-27,France,,12,1,2,2021-10-27 21:05:00,2,5,240,2021,10,2
29,2023-04-01,Germany,,1,1,2,2023-04-01 05:00:00,2,1,158,2023,4,2
29,2023-04-01,Germany,,1,1,2,2023-04-01 05:00:00,2,5,2738,2023,4,2
30,2022-01-26,Denmark,,12,0,4,2022-01-26 08:05:00,4,1,1093,2022,1,4
30,2022-01-26,Denmark,,12,0,4,2022-01-26 08:05:00,4,5,3872,2022,1,4
30,2022-01-26,Denmark,,12,0,4,2022-01-26 08:05:00,4,2,3618,2022,1,4
30,2022-01-26,Denmark,,12,0,4,2022-01-26 08:05:00,4,1,4641,2022,1,4
31,2023-06-15,Finland,,12,1,5,2023-06-15 23:15:00,5,1,276,2023,6,5
31,2023-06-15,Finland,,12,1,5,2023-06-15 23:15:00,5,5,4614,2023,6,5
31,2023-06-15,Finland,,12,1,5,2023-06-15 23:15:00,5,2,372,2023,6,5
31,2023-06-15,Finland,,12,1,5,2023-06-15 23:15:00,5,4,2981,2023,6,5
31,2023-06-15,Finland,,12,1,5,2023-06-15 23:15:00,5,5,589,2023,6,5
32,2023-07-08,Austria,,3,1,2,2023-07-08 01:30:00,2,1,3024,2023,7,2
32,2023-07-08,Austria,,3,1,2,2023-07-08 01:30:00,2,5,4527,2023,7,2
33,2022-09-19,United Kingdom,,1,1,2,2022-09-19 12:30:00,2,1,4661,2022,9,2
33,2022-09-19,United Kingdom,,1,1,2,2022-09-19 12:30:00,2,5,6327,2022,9,2
34,2022-12-04,France,,1,1,5,2022-12-04 01:25:00,5,1,5756,2022,12,5
34,2022-12-04,France,,1,1,5,2022-12-04 01:25:00,5,5,6547,2022,12,5
34,2022-12-04,France,,1,1,5,2022-12-04 01:25:00,5,5,2938,2022,12,5
34,2022-12-04,France,,1,1,5,2022-12-04 01:25:00,5,3,6709,2022,12,5
34,2022-12-04,France,,1,1,5,2022-12-04 01:25:00,5,3,5109,2022,12,5
35,2022-07-04,Germany,,6,1,2,2022-07-04 17:15:00,2,1,2858,2022,7,2
35,2022-07-04,Germany,,6,1,2,2022-07-04 17:15:00,2,5,3257,2022,7,2
36,2022-07-14,Denmark,,12,1,2,2022-07-14 22:30:00,2,1,5730,2022,7,2
36,2022-07-14,Denmark,,12,1,2,2022-07-14 22:30:00,2,5,1277,2022,7,2
37,2023-01-20,Finland,,1,1,4,2023-01-20 19:40:00,4,1,1680,2023,1,4
37,2023-01-20,Finland,,1,1,4,2023-01-20 19:40:00,4,5,5536,2023,1,4
37,2023-01-20,Finland,,1,1,4,2023-01-20 19:40:00,4,1,6692,2023,1,4
37,2023-01-20,Finland,,1,1,4,2023-01-20 19:40:00,4,3,4268,2023,1,4
38,2021-12-28,Austria,,12,1,2,2021-12-28 19:20:00,2,1,2954,2021,12,2
38,2021-12-28,Austria,,12,1,2,2021-12-28 19:20:00,2,5,6019,2021,12,2
39,2023-09-08,United Kingdom,,11,1,2,2023-09-08 03:10:00,2,1,6756,2023,9,2
39,2023-09-08,United Kingdom,,11,1,2,2023-09-08 03:10:00,2,5,2769,2023,9,2
40,2022-11-24,France,,1,0,3,2022-11-24 06:15:00,3,1,4385,2022,11,3
40,2022-11-24,France,,1,0,3,2022-11-24 06:15:00,3,5,548,2022,11,3
40,2022-11-24,France,,1,0,3,2022-11-24 06:15:00,3,5,4426,2022,11,3
41,2022-05-10,Germany,,1,1,2,2022-05-10 01:00:00,2,1,2976,2022,5,2
41,2022-05-10,Germany,,1,1,2,2022-05-10 01:00:00,2,5,5904,2022,5,2
42,2022-01-28,France,,12,1,2,2022-01-28 04:15:00,2,1,126,2022,1,2
42,2022-01-28,France,,12,1,2,2022-01-28 04:15:00,2,5,5536,2022,1,2
43,2022-01-04,Germany,,9,1,2,2022-01-04 19:05:00,2,1,2300,2022,1,2
43,2022-01-04,Germany,,9,1,2,2022-01-04 19:05:00,2,5,352,2022,1,2
44,2022-05-12,Denmark,,3,1,5,2022-05-12 12:00:00,5,1,4730,2022,5,5
44,2022-05-12,Denmark,,3,1,5,2022-05-12 12:00:00,5,5,6743,2022,5,5
44,2022-05-12,Denmark,,3,1,5,2022-05-12 12:00:00,5,1,2427,2022,5,5
44,2022-05-12,Denmark,,3,1,5,2022-05-12 12:00:00,5,5,6014,2022,5,5
44,2022-05-12,Denmark,,3,1,5,2022-05-12 12:00:00,5,5,217,2022,5,5
45,2023-05-26,France,,7,1,2,2023-05-26 12:25:00,2,1,6595,2023,5,2
45,2023-05-26,France,,7,1,2,2023-05-26 12:25:00,2,5,2574,2023,5,2
46,2021-10-05,Germany,,12,0,2,2021-10-05 23:30:00,2,1,7178,2021,10,2
46,2021-10-05,Germany,,12,0,2,2021-10-05 23:30:00,2,5,2016,2021,10,2
47,2021-09-27,Denmark,,5,0,2,2021-09-27 01:35:00,2,1,1002,2021,9,2
47,2021-09-27,Denmark,,5,0,2,2021-09-27 01:35:00,2,5,64,2021,9,2
48,2023-05-30,United Kingdom,,1,1,4,2023-05-30 06:30:00,4,1,1201,2023,5,4
48,2023-05-30,United Kingdom,,1,1,4,2023-05-30 06:30:00,4,5,2679,2023,5,4
48,2023-05-30,United Kingdom,,1,1,4,2023-05-30 06:30:00,4,3,4338,2023,5,4
48,2023-05-30,United Kingdom,,1,1,4,2023-05-30 06:30:00,4,3,3999,2023,5,4
49,2022-10-03,France,,7,1,2,2022-10-03 07:25:00,2,1,4797,2022,10,2
49,2022-10-03,France,,7,1,2,2022-10-03 07:25:00,2,5,2413,2022,10,2
50,2022-06-24,United Kingdom,,12,0,2,2022-06-24 22:35:00,2,1,7096,2022,6,2
50,2022-06-24,United Kingdom,,12,0,2,2022-06-24 22:35:00,2,5,3973,2022,6,2
51,2021-10-09,France,,12,1,6,2021-10-09 04:15:00,6,1,4176,2021,10,6
51,2021-10-09,France,,12,1,6,2021-10-09 04:15:00,6,5,3070,2021,10,6
51,2021-10-09,France,,12,1,6,2021-10-09 04:15:00,6,2,911,2021,10,6
51,2021-10-09,France,,12,1,6,2021-10-09 04:15:00,6,3,196,2021,10,6
51,2021-10-09,France,,12,1,6,2021-10-09 04:15:00,6,3,5421,2021,10,6
51,2021-10-09,France,,12,1,6,2021-10-09 04:15:00,6,5,330,2021,10,6
52,2022-02-13,Finland,,12,0,2,2022-02-13 05:35:00,2,1,5872,2022,2,2
52,2022-02-13,Finland,,12,0,2,2022-02-13 05:35:00,2,5,2404,2022,2,2
53,2023-05-06,Austria,,12,1,2,2023-05-06 02:20:00,2,1,717,2023,5,2
53,2023-05-06,Austria,,12,1,2,2023-05-06 02:20:00,2,5,5117,2023,5,2
54,2021-12-29,United Kingdom,,3,1,3,2021-12-29 12:00:00,3,1,3601,2021,12,3
54,2021-12-29,United Kingdom,,3,1,3,2021-12-29 12:00:00,3,5,6212,2021,12,3
54,2021-12-29,United Kingdom,,3,1,3,2021-12-29 12:00:00,3,4,4763,2021,12,3
55,2023-01-04,United Kingdom,,12,1,2,2023-01-04 02:40:00,2,1,4680,2023,1,2
55,2023-01-04,United Kingdom,,12,1,2,2023-01-04 02:40:00,2,5,973,2023,1,2
56,2022-10-31,France,,12,1,2,2022-10-31 07:15:00,2,1,1583,2022,10,2
56,2022-10-31,France,,12,1,2,2022-10-31 07:15:00,2,5,1997,2022,10,2
57,2022-12-07,Germany,,12,1,2,2022-12-07 18:40:00,2,1,2629,2022,12,2
57,2022-12-07,Germany,,12,1,2,2022-12-07 18:40:00,2,5,705,2022,12,2
58,2021-12-29,Italy,,8,1,2,2021-12-29 14:20:00,2,1,230,2021,12,2
58,2021-12-29,Italy,,8,1,2,2021-12-29 14:20:00,2,5,3545,2021,12,2
59,2022-09-23,Spain,,11,0,4,2022-09-23 16:10:00,4,1,5391,2022,9,4
59,2022-09-23,Spain,,11,0,4,2022-09-23 16:10:00,4,5,5254,2022,9,4
59,2022-09-23,Spain,,11,0,4,2022-09-23 16:10:00,4,4,4775,2022,9,4
59,2022-09-23,Spain,,11,0,4,2022-09-23 16:10:00,4,3,3054,2022,9,4
60,2022-01-26,Netherlands,,11,1,5,2022-01-26 00:40:00,5,1,6876,2022,1,5
60,2022-01-26,Netherlands,,11,1,5,2022-01-26 00:40:00,5,5,5457,2022,1,5
60,2022-01-26,Netherlands,,11,1,5,2022-01-26 00:40:00,5,4,7251,2022,1,5
60,2022-01-26,Netherlands,,11,1,5,2022-01-26 00:40:00,5,4,4296,2022,1,5
60,2022-01-26,Netherlands,,11,1,5,2022-01-26 00:40:00,5,4,5407,2022,1,5
61,2022-06-15,Belgium,,12,1,2,2022-06-15 10:25:00,2,1,1388,2022,6,2
61,2022-06-15,Belgium,,12,1,2,2022-06-15 10:25:00,2,5,7446,2022,6,2
62,2022-05-14,Switzerland,,12,1,4,2022-05-14 17:15:00,4,1,6555,2022,5,4
62,2022-05-14,Switzerland,,12,1,4,2022-05-14 17:15:00,4,5,685,2022,5,4
62,2022-05-14,Switzerland,,12,1,4,2022-05-14 17:15:00,4,3,7303,2022,5,4
62,2022-05-14,Switzerland,,12,1,4,2022-05-14 17:15:00,4,5,2758,2022,5,4
63,2022-02-18,Sweden,,11,1,2,2022-02-18 13:25:00,2,1,6874,2022,2,2
63,2022-02-18,Sweden,,11,1,2,2022-02-18 13:25:00,2,5,6454,2022,2,2
64,2022-03-22,Norway,,1,1,3,2022-03-22 05:25:00,3,1,1300,2022,3,3
64,2022-03-22,Norway,,1,1,3,2022-03-22 05:25:00,3,5,6043,2022,3,3
64,2022-03-22,Norway,,1,1,3,2022-03-22 05:25:00,3,5,6900,2022,3,3
65,2022-11-07,Denmark,,1,1,3,2022-11-07 00:45:00,3,1,4665,2022,11,3
65,2022-11-07,Denmark,,1,1,3,2022-11-07 00:45:00,3,5,3695,2022,11,3
65,2022-11-07,Denmark,,1,1,3,2022-11-07 00:45:00,3,5,7410,2022,11,3
66,2023-01-17,Finland,,12,1,2,2023-01-17 21:10:00,2,1,4407,2023,1,2
66,2023-01-17,Finland,,12,1,2,2023-01-17 21:10:00,2,5,6899,2023,1,2
67,2023-07-12,Austria,,4,1,6,2023-07-12 04:05:00,6,1,1476,2023,7,6
67,2023-07-12,Austria,,4,1,6,2023-07-12 04:05:00,6,5,6575,2023,7,6
67,2023-07-12,Austria,,4,1,6,2023-07-12 04:05:00,6,3,6731,2023,7,6
67,2023-07-12,Austria,,4,1,6,2023-07-12 04:05:00,6,1,1397,2023,7,6
67,2023-07-12,Austria,,4,1,6,2023-07-12 04:05:00,6,1,4144,2023,7,6
67,2023-07-12,Austria,,4,1,6,2023-07-12 04:05:00,6,4,4820,2023,7,6
68,2023-05-19,United Kingdom,,5,0,2,2023-05-19 09:45:00,2,1,7177,2023,5,2
68,2023-05-19,United Kingdom,,5,0,2,2023-05-19 09:45:00,2,5,2793,2023,5,2
69,2023-09-27,France,,12,1,2,2023-09-27 04:20:00,2,1,5312,2023,9,2
69,2023-09-27,France,,12,1,2,2023-09-27 04:20:00,2,5,6682,2023,9,2
70,2022-11-09,Germany,,12,1,2,2022-11-09 02:05:00,2,1,5507,2022,11,2
70,2022-11-09,Germany,,12,1,2,2022-11-09 02:05:00,2,5,5720,2022,11,2
71,2022-07-17,Italy,,7,1,2,2022-07-17 02:35:00,2,1,5091,2022,7,2
71,2022-07-17,Italy,,7,1,2,2022-07-17 02:35:00,2,5,4756,2022,7,2
72,2022-11-20,Spain,,1,1,2,2022-11-20 18:35:00,2,1,2531,2022,11,2
72,2022-11-20,Spain,,1,1,2,2022-11-20 18:35:00,2,5,387,2022,11,2
73,2022-10-16,Netherlands,,11,1,2,2022-10-16 03:35:00,2,1,7497,2022,10,2
73,2022-10-16,Netherlands,,11,1,2,2022-10-16 03:35:00,2,5,4533,2022,10,2
74,2023-03-14,Belgium,,6,0,4,2023-03-14 20:45:00,4,1,5061,2023,3,4
74,2023-03-14,Belgium,,6,0,4,2023-03-14 20:45:00,4,5,7018,2023,3,4
74,2023-03-14,Belgium,,6,0,4,2023-03-14 20:45:00,4,4,3113,2023,3,4
74,2023-03-14,Belgium,,6,0,4,2023-03-14 20:45:00,4,4,2128,2023,3,4
75,2023-04-07,Switzerland,,10,1,2,2023-04-07 11:05:00,2,1,4022,2023,4,2
75,2023-04-07,Switzerland,,10,1,2,2023-04-07 11:05:00,2,5,5805,2023,4,2
76,2023-08-16,Sweden,,4,0,5,2023-08-16 00:05:00,5,1,3266,2023,8,5
76,2023-08-16,Sweden,,4,0,5,2023-08-16 00:05:00,5,5,3539,2023,8,5
76,2023-08-16,Sweden,,4,0,5,2023-08-16 00:05:00,5,2,6114,2023,8,5
76,2023-08-16,Sweden,,4,0,5,2023-08-16 00:05:00,5,3,6362,2023,8,5
76,2023-08-16,Sweden,,4,0,5,2023-08-16 00:05:00,5,3,7105,2023,8,5
77,2022-12-16,Norway,,1,1,2,2022-12-16 12:05:00,2,1,3970,2022,12,2
77,2022-12-16,Norway,,1,1,2,2022-12-16 12:05:00,2,5,1313,2022,12,2
78,2023-01-20,Denmark,,4,1,2,2023-01-20 00:10:00,2,1,1322,2023,1,2
78,2023-01-20,Denmark,,4,1,2,2023-01-20 00:10:00,2,5,5024,2023,1,2
79,2022-08-04,Finland,,9,1,5,2022-08-04 17:10:00,5,1,384,2022,8,5
79,2022-08-04,Finland,,9,1,5,2022-08-04 17:10:00,5,5,1360,2022,8,5
79,2022-08-04,Finland,,9,1,5,2022-08-04 17:10:00,5,3,3022,2022,8,5
79,2022-08-04,Finland,,9,1,5,2022-08-04 17:10:00,5,4,5872,2022,8,5
79,2022-08-04,Finland,,9,1,5,2022-08-04 17:10:00,5,3,1688,2022,8,5
80,2022-01-04,Austria,,7,1,2,2022-01-04 20:30:00,2,1,3235,2022,1,2
80,2022-01-04,Austria,,7,1,2,2022-01-04 20:30:00,2,5,3479,2022,1,2
81,2022-07-07,United Kingdom,,5,1,2,2022-07-07 04:05:00,2,1,5106,2022,7,2
81,2022-07-07,United Kingdom,,5,1,2,2022-07-07 04:05:00,2,5,393,2022,7,2
82,2021-11-18,France,,1,1,5,2021-11-18 20:45:00,5,1,1227,2021,11,5
82,2021-11-18,France,,1,1,5,2021-11-18 20:45:00,5,5,5464,2021,11,5
82,2021-11-18,France,,1,1,5,2021-11-18 20:45:00,5,5,5180,2021,11,5
82,2021-11-18,France,,1,1,5,2021-11-18 20:45:00,5,3,2650,2021,11,5
82,2021-11-18,France,,1,1,5,2021-11-18 20:45:00,5,4,1146,2021,11,5
83,2023-03-15,Germany,,7,0,2,2023-03-15 01:25:00,2,1,195,2023,3,2
83,2023-03-15,Germany,,7,0,2,2023-03-15 01:25:00,2,5,4845,2023,3,2
84,2022-12-14,Denmark,,1,1,6,2022-12-14 07:40:00,6,1,1810,2022,12,6
84,2022-12-14,Denmark,,1,1,6,2022-12-14 07:40:00,6,5,7266,2022,12,6
84,2022-12-14,Denmark,,1,1,6,2022-12-14 07:40:00,6,4,6232,2022,12,6
84,2022-12-14,Denmark,,1,1,6,2022-12-14 07:40:00,6,1,3508,2022,12,6
84,2022-12-14,Denmark,,1,1,6,2022-12-14 07:40:00,6,4,1567,2022,12,6
84,2022-12-14,Denmark,,1,1,6,2022-12-14 07:40:00,6,5,154,2022,12,6
85,2022-11-13,Finland,,12,0,6,2022-11-13 00:10:00,6,1,5109,2022,11,6
85,2022-11-13,Finland,,12,0,6,2022-11-13 00:10:00,6,5,6645,2022,11,6
85,2022-11-13,Finland,,12,0,6,2022-11-13 00:10:00,6,4,5986,2022,11,6
85,2022-11-13,Finland,,12,0,6,2022-11-13 00:10:00,6,1,5966,2022,11,6
85,2022-11-13,Finland,,12,0,6,2022-11-13 00:10:00,6,3,3409,2022,11,6
85,2022-11-13,Finland,,12,0,6,2022-11-13 00:10:00,6,1,2952,2022,11,6
86,2021-10-30,Austria,,11,0,2,2021-10-30 21:15:00,2,1,5660,2021,10,2
86,2021-10-30,Austria,,11,0,2,2021-10-30 21:15:00,2,5,991,2021,10,2
87,2021-11-10,United Kingdom,,9,0,2,2021-11-10 08:25:00,2,1,4457,2021,11,2
87,2021-11-10,United Kingdom,,9,0,2,2021-11-10 08:25:00,2,5,4562,2021,11,2
88,2023-03-01,France,,4,1,6,2023-03-01 22:40:00,6,1,5234,2023,3,6
88,2023-03-01,France,,4,1,6,2023-03-01 22:40:00,6,5,6530,2023,3,6
88,2023-03-01,France,,4,1,6,2023-03-01 22:40:00,6,4,845,2023,3,6
88,2023-03-01,France,,4,1,6,2023-03-01 22:40:00,6,5,3673,2023,3,6
88,2023-03-01,France,,4,1,6,2023-03-01 22:40:00,6,3,6047,2023,3,6
88,2023-03-01,France,,4,1,6,2023-03-01 22:40:00,6,5,4796,2023,3,6
89,2022-04-04,Germany,,10,1,3,2022-04-04 17:25:00,3,1,196,2022,4,3
89,2022-04-04,Germany,,10,1,3,2022-04-04 17:25:00,3,5,2670,2022,4,3
89,2022-04-04,Germany,,10,1,3,2022-04-04 17:25:00,3,5,2051,2022,4,3
90,2022-05-28,Denmark,,12,1,2,2022-05-28 22:10:00,2,1,4107,2022,5,2
90,2022-05-28,Denmark,,12,1,2,2022-05-28 22:10:00,2,5,857,2022,5,2
91,2021-12-24,Finland,,12,1,2,2021-12-24 01:15:00,2,1,4064,2021,12,2
91,2021-12-24,Finland,,12,1,2,2021-12-24 01:15:00,2,5,5741,2021,12,2
92,2023-09-25,Austria,,12,1,4,2023-09-25 21:40:00,4,1,3440,2023,9,4
92,2023-09-25,Austria,,12,1,4,2023-09-25 21:40:00,4,5,5644,2023,9,4
92,2023-09-25,Austria,,12,1,4,2023-09-25 21:40:00,4,5,3482,2023,9,4
92,2023-09-25,Austria,,12,1,4,2023-09-25 21:40:00,4,5,4821,2023,9,4
93,2022-02-11,United Kingdom,,12,0,2,2022-02-11 23:20:00,2,1,3134,2022,2,2
93,2022-02-11,United Kingdom,,12,0,2,2022-02-11 23:20:00,2,5,5420,2022,2,2
94,2021-12-12,France,,1,1,2,2021-12-12 19:30:00,2,1,2215,2021,12,2
94,2021-12-12,France,,1,1,2,2021-12-12 19:30:00,2,5,3487,2021,12,2
95,2022-06-07,Germany,,2,1,3,2022-06-07 07:05:00,3,1,69,2022,6,3
95,2022-06-07,Germany,,2,1,3,2022-06-07 07:05:00,3,5,6931,2022,6,3
95,2022-06-07,Germany,,2,1,3,2022-06-07 07:05:00,3,5,2559,2022,6,3
96,2022-03-03,France,,12,0,2,2022-03-03 22:20:00,2,1,2750,2022,3,2
96,2022-03-03,France,,12,0,2,2022-03-03 22:20:00,2,5,4908,2022,3,2
97,2022-09-08,Germany,,12,1,3,2022-09-08 03:45:00,3,1,7115,2022,9,3
97,2022-09-08,Germany,,12,1,3,2022-09-08 03:45:00,3,5,324,2022,9,3
97,2022-09-08,Germany,,12,1,3,2022-09-08 03:45:00,3,4,7095,2022,9,3
98,2023-04-18,Denmark,,12,1,2,2023-04-18 07:10:00,2,1,5499,2023,4,2
98,2023-04-18,Denmark,,12,1,2,2023-04-18 07:10:00,2,5,5196,2023,4,2
99,2022-05-17,France,,11,1,2,2022-05-17 03:05:00,2,1,2711,2022,5,2
99,2022-05-17,France,,11,1,2,2022-05-17 03:05:00,2,5,3335,2022,5,2
100,2022-04-03,Germany,,5,1,2,2022-04-03 10:15:00,2,1,912,2022,4,2
100,2022-04-03,Germany,,5,1,2,2022-04-03 10:15:00,2,5,5056,2022,4,2
101,2023-07-11,Denmark,,11,0,3,2023-07-11 00:10:00,3,1,850,2023,7,3
